# Manually curated annotations TSV file
# The TSV should not have a header and should have exactly three columns:
# id to match existing metadata, field name, and field value
# If there are multiple annotations for the same id and field, then the last value is used
# Lines starting with '#' are treated as comments
# Any '#' after the field value are treated as comments.
MN920136	strain	MuVs/Manitoba.CAN/16.17/8[G]
MN920137	strain	MuVs/Manitoba.CAN/15.17/8[G]
MN920138	strain	MuVs/Manitoba.CAN/16.17/9[G]
MN920139	strain	MuVs/Manitoba.CAN/15.17/9[G]
MN920140	strain	MuVs/Manitoba.CAN/15.17/10[G]
MN920141	strain	MuVs/Manitoba.CAN/16.17/10[G]
MN920142	strain	MuVs/Manitoba.CAN/16.17/11[G]
MN920143	strain	MuVs/Manitoba.CAN/15.17/11[G]
MN920144	strain	MuVs/Manitoba.CAN/16.17/12[G]
MN920145	strain	MuVs/Manitoba.CAN/16.17/13[G]
MN920146	strain	MuVs/Manitoba.CAN/16.17/14[G]
MN920147	strain	MuVs/Manitoba.CAN/16.17/15[G]
MN920148	strain	MuVs/Manitoba.CAN/17.17/8[G]
MN920149	strain	MuVs/Saskatchewan.CAN/16.17[G]
MN920150	strain	MuVs/Saskatchewan.CAN/16.17/2[G]
MN920151	strain	MuVs/Saskatchewan.CAN/16.17/3[G]
MN920152	strain	MuVs/Saskatchewan.CAN/16.17/4[G]
MN920153	strain	MuVs/Saskatchewan.CAN/16.17/5[G]
MN920154	strain	MuVs/Saskatchewan.CAN/16.17/6[G]
MN920155	strain	MuVs/Saskatchewan.CAN/16.17/7[G]
MN920156	strain	MuVs/British Columbia.CAN/16.17[G]
MN920157	strain	MuVs/Manitoba.CAN/16.17[G]
MN920158	strain	MuVs/Manitoba.CAN/16.17/2[G]
MN920159	strain	MuVs/Manitoba.CAN/17.17[G]
MN920160	strain	MuVs/Manitoba.CAN/16.17/3[G]
MN920161	strain	MuVs/Manitoba.CAN/17.17/2[G]
MN920162	strain	MuVs/Manitoba.CAN/17.17/3[G]
MN920163	strain	MuVs/Manitoba.CAN/17.17/4[G]
MN920164	strain	MuVs/Manitoba.CAN/17.17/5[G]
MN920165	strain	MuVs/Manitoba.CAN/16.17/4[G]
MN920166	strain	MuVs/Manitoba.CAN/17.17/6[G]
MN920167	strain	MuVs/Saskatchewan.CAN/18.17[G]
MN920168	strain	MuVs/Ontario.CAN/52.18[C]
MN920169	strain	MuVs/Alberta.CAN/16.18/[C]
MN920170	strain	MuVs/Ontario.CAN/2.19/[G]
MN920171	strain	MuVs/Quebec.CAN/2.19/[G]
MN920172	strain	MuVs/Quebec.CAN/2.19/2[G]
MN920173	strain	MuVs/Ontario.CAN/4.19/[G]
MN920174	strain	MuVs/Ontario.CAN/4.19/2[G]
MN920175	strain	MuVs/Ontario.CAN/4.19/3[G]
MN920176	strain	MuVs/British Columbia.CAN/4.19[H]
MN920177	strain	MuVs/Quebec.CAN/5.19[G]
MN920178	strain	MuVs/Ontario.CAN/6.19[G]
MN920179	strain	MuVs/Ontario.CAN/7.19[G]
MN920180	strain	MuVs/Ontario.CAN/4.19/4[G]
MN920181	strain	MuVs/Ontario.CAN/6.19/2[G]
MN920182	strain	MuVs/British Columbia.CAN/7.19[H]
MN920183	strain	MuVs/Ontario.CAN/7.19/2[G]
MN920184	strain	MuVs/British Columbia.CAN/8.19[G]
MN920185	strain	MuVs/British Columbia.CAN/9.19[C]
MN920186	strain	MuVs/British Columbia.CAN/9.19/2[G]
MN920187	strain	MuVs/Ontario.CAN/9.19[G]
MN920188	strain	MuVs/Ontario.CAN/8.19[G]
MN920189	strain	MuVs/Ontario.CAN/14.19[H]
MN920190	strain	MuVs/Quebec.CAN/15.19[G]
MN920191	strain	MuVs/Quebec.CAN/15.19/2[G]
MN920192	strain	MuVs/Alberta.CAN/17.19[G]
MN920193	strain	MuVs/British Columbia.CAN/17.19[C]
MN920194	strain	MuVs/British Columbia.CAN/17.19/2[C]
MN920195	strain	MuVs/Ontario.CAN/18.19[G]
MN920196	strain	MuVs/Ontario.CAN/18.19/2[G]
MN920197	strain	MuVs/British Columbia.CAN/18.19/2[C]
MN920198	strain	MuVs/British Columbia.CAN/18.19/3[G]
MN920199	strain	MuVs/Alberta.CAN/18.19[G]
MN920200	strain	MuVs/Ontario.CAN/18.19/3[G]
MN920201	strain	MuVs/Alberta.CAN/20.19[G]
MN920202	strain	MuVs/Alberta.CAN/20.19/2[G]
